complete_rank,school,team,source_id
1,西安交通大学,笃行,rmuc_2026_complete_form
2,东莞理工学院,ACE,rmuc_2026_complete_form
3,华南农业大学,Taurus,rmuc_2026_complete_form
4,五邑大学,IMCA,rmuc_2026_complete_form
5,太原科技大学,NewMaker,rmuc_2026_complete_form
6,华北科技学院,风暴,rmuc_2026_complete_form
7,哈尔滨工业大学（深圳）,南工骁鹰,rmuc_2026_complete_form
8,东北大学,TDT,rmuc_2026_complete_form
9,西北工业大学,WMJ,rmuc_2026_complete_form
10,中国石油大学（华东）,RPS,rmuc_2026_complete_form
11,北京理工大学,追梦,rmuc_2026_complete_form
12,华南理工大学,华南虎,rmuc_2026_complete_form
13,太原工业学院,火线,rmuc_2026_complete_form
14,武汉工程大学,Nautilus,rmuc_2026_complete_form
15,仲恺农业工程学院,奇点,rmuc_2026_complete_form
16,华东理工大学,起源,rmuc_2026_complete_form
17,长安大学,VGD,rmuc_2026_complete_form
18,同济大学,SuperPower,rmuc_2026_complete_form
19,南京理工大学,Alliance,rmuc_2026_complete_form
20,中国科学技术大学,RoboWalker,rmuc_2026_complete_form
21,中南大学,FYT,rmuc_2026_complete_form
22,江南大学霞客湾校区,SHARK,rmuc_2026_complete_form
23,哈尔滨工业大学,I Hiter,rmuc_2026_complete_form
24,沈阳理工大学,Ambition,rmuc_2026_complete_form
25,深圳大学,RobotPilots,rmuc_2026_complete_form
26,合肥工业大学（宣城校区）,WDR,rmuc_2026_complete_form
27,广州城市理工学院,野狼,rmuc_2026_complete_form
28,哈尔滨工业大学（威海）,HERO,rmuc_2026_complete_form
29,华北理工大学,Horizon,rmuc_2026_complete_form
30,太原理工大学,TRoMaC,rmuc_2026_complete_form
31,北方工业大学,DreamTeam,rmuc_2026_complete_form
32,桂林电子科技大学,Evolution,rmuc_2026_complete_form
33,合肥工业大学,苍穹,rmuc_2026_complete_form
34,安徽信息工程学院,Artisans,rmuc_2026_complete_form
35,武汉科技大学,崇实,rmuc_2026_complete_form
36,广东工业大学,DynamicX,rmuc_2026_complete_form
37,电子科技大学中山学院,RoboBraver,rmuc_2026_complete_form
38,首都师范大学,PIE,rmuc_2026_complete_form
39,河北科技大学,Actor&Thinker,rmuc_2026_complete_form
40,东南大学,3SE,rmuc_2026_complete_form
41,大连理工大学,凌BUG,rmuc_2026_complete_form
42,浙江大学,Hello World,rmuc_2026_complete_form
43,山东理工大学,齐奇,rmuc_2026_complete_form
44,香港科技大学（广州）,PnX,rmuc_2026_complete_form
45,东北大学秦皇岛分校,征龙凌沧,rmuc_2026_complete_form
46,上海交通大学,交龙,rmuc_2026_complete_form
47,江苏大学,Aurora,rmuc_2026_complete_form
48,南华大学,MA,rmuc_2026_complete_form
49,复旦大学,星云EGA,rmuc_2026_complete_form
50,成都信息工程大学,风信子,rmuc_2026_complete_form
51,长沙理工大学,云嵌,rmuc_2026_complete_form
52,哈尔滨工程大学,创梦之翼,rmuc_2026_complete_form
53,山东科技大学,SmartRobot,rmuc_2026_complete_form
54,国防科技大学,军临,rmuc_2026_complete_form
55,杭州电子科技大学,PHOENIX,rmuc_2026_complete_form
56,吉林大学,TARS Go,rmuc_2026_complete_form
57,广西大学,ROBOTZ,rmuc_2026_complete_form
58,桂林理工大学,群星,rmuc_2026_complete_form
59,深圳技术大学,悍匠,rmuc_2026_complete_form
60,广州航海学院,ICBK破冰船,rmuc_2026_complete_form
61,中北大学,606,rmuc_2026_complete_form
62,南昌大学,Passion,rmuc_2026_complete_form
63,天津大学,北洋机甲,rmuc_2026_complete_form
64,上海大学,SRM,rmuc_2026_complete_form
65,成都大学,Ultra,rmuc_2026_complete_form
66,齐鲁工业大学,Adam,rmuc_2026_complete_form
67,西安电子科技大学,IRobot,rmuc_2026_complete_form
68,桂林信息科技学院,GIRT,rmuc_2026_complete_form
69,上海工程技术大学,木鸢Birdiebot,rmuc_2026_complete_form
70,厦门大学,RCS,rmuc_2026_complete_form
71,湘潭大学,逐曦,rmuc_2026_complete_form
72,香港科技大学,ENTERPRIZE,rmuc_2026_complete_form
73,四川大学,火锅,rmuc_2026_complete_form
74,厦门大学嘉庚学院,TCR,rmuc_2026_complete_form
75,青岛大学,未来,rmuc_2026_complete_form
76,中国石油大学（北京）,SPR,rmuc_2026_complete_form
77,南京航空航天大学金城学院,Born of Fire,rmuc_2026_complete_form
78,华中科技大学,狼牙,rmuc_2026_complete_form
79,西交利物浦大学,GMaster,rmuc_2026_complete_form
80,内蒙古科技大学,雷霆,rmuc_2026_complete_form
81,华南师范大学,PIONEER,rmuc_2026_complete_form
82,辽宁石油化工大学,TCN,rmuc_2026_complete_form
83,南京理工大学江阴校区,Combat,rmuc_2026_complete_form
84,西南交通大学,Helios,rmuc_2026_complete_form
85,中国矿业大学,CUBOT,rmuc_2026_complete_form
86,香港大学,HerKules,rmuc_2026_complete_form
87,厦门理工学院,PFA,rmuc_2026_complete_form
88,福建师范大学,PKA,rmuc_2026_complete_form
89,华南师范大学（佛山校区）,VANGUARD,rmuc_2026_complete_form
90,重庆理工大学,士继DREAMER,rmuc_2026_complete_form
91,北京理工大学（珠海）,毅恒,rmuc_2026_complete_form
92,常州大学,Climber,rmuc_2026_complete_form
93,北京信息科技大学,星辰,rmuc_2026_complete_form
94,南方科技大学,ARTINX,rmuc_2026_complete_form
95,武汉大学,珞珈狐,rmuc_2026_complete_form
96,福建理工大学,苍侠,rmuc_2026_complete_form

