school,team,technical_solution_grade,technical_solution_bonus,project_doc_grade,project_doc_bonus,total_initial_gold_bonus,source_id
同济大学,SuperPower,S,150,S,50,200,rmuc_2026_complete_form
浙江大学,Hello World,S,150,S,50,200,rmuc_2026_complete_form
中南大学,FYT,S,150,S,50,200,rmuc_2026_complete_form
北京理工大学,追梦,S,150,A,25,175,rmuc_2026_complete_form
中国石油大学（华东）,RPS,S,150,A,25,175,rmuc_2026_complete_form
哈尔滨工业大学（威海）,HERO,S,150,B,0,150,rmuc_2026_complete_form
西安交通大学,笃行,S,150,B,0,150,rmuc_2026_complete_form
大连理工大学,凌BUG,S,150,B,0,150,rmuc_2026_complete_form
广州城市理工学院,野狼,A,75,A,25,100,rmuc_2026_complete_form
华南农业大学,Taurus,A,75,A,25,100,rmuc_2026_complete_form
五邑大学,IMCA,A,75,A,25,100,rmuc_2026_complete_form
广西大学,ROBOTZ,A,75,A,25,100,rmuc_2026_complete_form
哈尔滨工业大学,I Hiter,A,75,A,25,100,rmuc_2026_complete_form
江苏大学,Aurora,A,75,A,25,100,rmuc_2026_complete_form
合肥工业大学（宣城校区）,WDR,A,75,A,25,100,rmuc_2026_complete_form
复旦大学,星云EGA,A,75,A,25,100,rmuc_2026_complete_form
山东科技大学,SmartRobot,A,75,B,0,75,rmuc_2026_complete_form
沈阳理工大学,Ambition,A,75,B,0,75,rmuc_2026_complete_form
华东理工大学,起源,A,75,B,0,75,rmuc_2026_complete_form
上海工程技术大学,木鸢Birdiebot,A,75,B,0,75,rmuc_2026_complete_form
吉林大学,TARS Go,A,75,B,0,75,rmuc_2026_complete_form
深圳大学,RobotPilots,A,75,B,0,75,rmuc_2026_complete_form
厦门大学嘉庚学院,TCR,A,75,B,0,75,rmuc_2026_complete_form
河北科技大学,Actor&Thinker,A,75,B,0,75,rmuc_2026_complete_form
江南大学霞客湾校区,SHARK,A,75,B,0,75,rmuc_2026_complete_form
桂林电子科技大学,Evolution,A,75,B,0,75,rmuc_2026_complete_form
东莞理工学院,ACE,A,75,B,0,75,rmuc_2026_complete_form
北京信息科技大学,星辰,A,75,B,0,75,rmuc_2026_complete_form
广东工业大学,DynamicX,A,75,B,0,75,rmuc_2026_complete_form
重庆理工大学,士继DREAMER,A,75,B,0,75,rmuc_2026_complete_form
仲恺农业工程学院,奇点,A,75,B,0,75,rmuc_2026_complete_form
北方工业大学,DreamTeam,A,75,B,0,75,rmuc_2026_complete_form
南昌大学,Passion,A,75,B,0,75,rmuc_2026_complete_form
香港科技大学,ENTERPRIZE,A,75,B,0,75,rmuc_2026_complete_form
华南理工大学,华南虎,A,75,B,0,75,rmuc_2026_complete_form
香港科技大学（广州）,PnX,A,75,B,0,75,rmuc_2026_complete_form
南京理工大学江阴校区,Combat,A,75,B,0,75,rmuc_2026_complete_form
太原理工大学,TRoMaC,A,75,B,0,75,rmuc_2026_complete_form
上海交通大学,交龙,A,75,B,0,75,rmuc_2026_complete_form
北京理工大学（珠海）,毅恒,A,75,B,0,75,rmuc_2026_complete_form
上海大学,SRM,A,75,B,0,75,rmuc_2026_complete_form
香港大学,HerKules,A,75,B,0,75,rmuc_2026_complete_form
天津大学,北洋机甲,A,75,B,0,75,rmuc_2026_complete_form
福建师范大学,PKA,A,75,B,0,75,rmuc_2026_complete_form
哈尔滨工业大学（深圳）,南工骁鹰,A,75,B,0,75,rmuc_2026_complete_form
桂林信息科技学院,GIRT,A,75,B,0,75,rmuc_2026_complete_form
中国科学技术大学,RoboWalker,A,75,B,0,75,rmuc_2026_complete_form
电子科技大学中山学院,RoboBraver,A,75,B,0,75,rmuc_2026_complete_form
中北大学,606,A,75,B,0,75,rmuc_2026_complete_form
深圳技术大学,悍匠,A,75,B,0,75,rmuc_2026_complete_form
华中科技大学,狼牙,A,75,B,0,75,rmuc_2026_complete_form
山东理工大学,齐奇,A,75,B,0,75,rmuc_2026_complete_form
成都大学,Ultra,A,75,B,0,75,rmuc_2026_complete_form
四川大学,火锅,A,75,B,0,75,rmuc_2026_complete_form
华北理工大学,Horizon,A,75,B,0,75,rmuc_2026_complete_form
厦门大学,RCS,A,75,B,0,75,rmuc_2026_complete_form
杭州电子科技大学,PHOENIX,A,75,B,0,75,rmuc_2026_complete_form
西北工业大学,WMJ,A,75,B,0,75,rmuc_2026_complete_form
西交利物浦大学,GMaster,A,75,B,0,75,rmuc_2026_complete_form
东南大学,3SE,A,75,B,0,75,rmuc_2026_complete_form
国防科技大学,军临,A,75,B,0,75,rmuc_2026_complete_form
西安电子科技大学,IRobot,A,75,B,0,75,rmuc_2026_complete_form
西南交通大学,Helios,A,75,B,0,75,rmuc_2026_complete_form
中国矿业大学,CUBOT,A,75,B,0,75,rmuc_2026_complete_form
南方科技大学,ARTINX,A,75,B,0,75,rmuc_2026_complete_form
南京理工大学,Alliance,A,75,B,0,75,rmuc_2026_complete_form
长沙理工大学,云嵌,A,75,C,-25,50,rmuc_2026_complete_form
哈尔滨工程大学,创梦之翼,A,75,C,-25,50,rmuc_2026_complete_form
常州大学,Climber,A,75,C,-25,50,rmuc_2026_complete_form
华南师范大学,PIONEER,B,0,A,25,25,rmuc_2026_complete_form
广州航海学院,ICBK破冰船,B,0,B,0,0,rmuc_2026_complete_form
武汉大学,珞珈狐,B,0,B,0,0,rmuc_2026_complete_form
青岛大学,未来,B,0,B,0,0,rmuc_2026_complete_form
太原科技大学,NewMaker,B,0,B,0,0,rmuc_2026_complete_form
东北大学,TDT,B,0,B,0,0,rmuc_2026_complete_form
武汉工程大学,Nautilus,B,0,B,0,0,rmuc_2026_complete_form
安徽信息工程学院,Artisans,B,0,B,0,0,rmuc_2026_complete_form
华北科技学院,风暴,B,0,B,0,0,rmuc_2026_complete_form
华南师范大学（佛山校区）,VANGUARD,B,0,B,0,0,rmuc_2026_complete_form
齐鲁工业大学,Adam,B,0,B,0,0,rmuc_2026_complete_form
南华大学,MA,B,0,B,0,0,rmuc_2026_complete_form
太原工业学院,火线,B,0,B,0,0,rmuc_2026_complete_form
湘潭大学,逐曦,B,0,B,0,0,rmuc_2026_complete_form
首都师范大学,PIE,B,0,C,-25,-25,rmuc_2026_complete_form
东北大学秦皇岛分校,征龙凌沧,B,0,C,-25,-25,rmuc_2026_complete_form
桂林理工大学,群星,C,-25,B,0,-25,rmuc_2026_complete_form
长安大学,VGD,B,0,C,-25,-25,rmuc_2026_complete_form
厦门理工学院,PFA,B,0,C,-25,-25,rmuc_2026_complete_form
中国石油大学（北京）,SPR,B,0,C,-25,-25,rmuc_2026_complete_form
合肥工业大学,苍穹,C,-25,B,0,-25,rmuc_2026_complete_form
武汉科技大学,崇实,B,0,C,-25,-25,rmuc_2026_complete_form
成都信息工程大学,风信子,C,-25,B,0,-25,rmuc_2026_complete_form
内蒙古科技大学,雷霆,C,-25,B,0,-25,rmuc_2026_complete_form
南京航空航天大学金城学院,Born of Fire,B,0,C,-25,-25,rmuc_2026_complete_form
辽宁石油化工大学,TCN,C,-25,B,0,-25,rmuc_2026_complete_form
福建理工大学,苍侠,C,-25,C,-25,-50,rmuc_2026_complete_form

